Probability Values For Treshold2,0.0168713,0.0197854,0.0935874,0.0984678,0.149874,0.195478,0.206846,0.256313,0.31538,0.406688,
Diameter results:,0,0,0.634,0.724,0.998,1,1,1,1,1,
