Probability Values For Treshold1,0.0017856,0.0098756,0.0106854,0.0113598,0.011999,0.0129639,0.0139874,0.0145687,0.0169587,0.0176548,
Connectivity results:,0,0.454,0.648,0.746,0.796,0.89,0.944,0.962,0.986,0.992,
